client_id,risk_appetite,category,asset_type,asset_name,value,purchase_date,annual_return,is_international,sector
CL100001,Moderately Conservative,Bonds,Government Bond,Agency Bonds,2384.46,2020-04-07,0.0858,False,Government Agency
CL100001,Moderately Conservative,Bonds,Corporate Bond,LQD,4393.09,2025-05-21,0.0564,False,Investment Grade
CL100001,Moderately Conservative,Bonds,Government Bond,Municipal Bonds,11714.87,2021-09-13,0.0135,False,Municipal
CL100001,Moderately Conservative,Bonds,Government Bond,Municipal Bonds,2160.49,2020-06-05,0.0657,False,Municipal
CL100001,Moderately Conservative,Bonds,Government Bond,Municipal Bonds,666.13,2016-12-21,0.0449,False,Municipal
CL100001,Moderately Conservative,Bonds,Government Bond,US Treasury,2845.17,2022-03-03,0.0884,False,Government
CL100001,Moderately Conservative,Bonds,Government Bond,TIPS,1461.99,2023-09-15,0.0049,False,Inflation-Protected
CL100001,Moderately Conservative,Cash,Cash,CD,489.82,2020-01-14,0.0167,False,Certificate of Deposit
CL100001,Moderately Conservative,Cash,Cash,Savings Account,1054.77,2021-06-12,-0.0066,False,Bank Deposit
CL100001,Moderately Conservative,Cash,Cash,Money Market,3226.16,2024-11-12,0.0235,False,Money Market
CL100001,Moderately Conservative,Alternatives,Private Equity,Venture Capital,2630.62,2016-05-13,0.1978,False,Early Stage
CL100001,Moderately Conservative,Alternatives,Private Equity,Buyout Fund,1337.27,2024-01-29,0.0641,False,Mature Companies
CL100001,Moderately Conservative,Real Estate,Property,Industrial,563.09,2019-08-07,0.1009,False,Industrial
CL100001,Moderately Conservative,Real Estate,Property,Residential,1055.04,2017-01-17,0.0611,False,Residential
CL100001,Moderately Conservative,Real Estate,REIT,PLD,1751.19,2017-12-25,-0.1603,False,Industrial
CL100002,Conservative,Equities,Stock,TSLA,69.06,2019-04-22,0.012,True,Consumer Discretionary
CL100002,Conservative,Equities,Stock,JPM,1482.68,2024-09-20,-0.0475,False,Financials
CL100002,Conservative,Equities,Mutual Fund,VTSMX,1877.62,2024-10-04,0.1174,True,Broad Market
CL100002,Conservative,Equities,Stock,TSLA,27.75,2022-11-06,-0.0303,True,Consumer Discretionary
CL100002,Conservative,Equities,ETF,XLK,1190.47,2024-01-13,0.266,False,Technology
CL100002,Conservative,Equities,Mutual Fund,FCNTX,426.04,2022-10-16,-0.0083,False,Growth
CL100002,Conservative,Bonds,Corporate Bond,High Yield,3163.2,2018-02-15,0.0239,False,High Yield
CL100002,Conservative,Bonds,Corporate Bond,BLV,2566.49,2020-04-12,0.053,False,Long-Term
CL100002,Conservative,Bonds,Government Bond,US Treasury,364.89,2017-05-08,0.0791,False,Government
CL100002,Conservative,Bonds,Corporate Bond,Investment Grade,1319.45,2023-05-20,-0.0218,False,Investment Grade
CL100002,Conservative,Bonds,Corporate Bond,High Yield,2078.66,2022-05-24,-0.026,False,High Yield
CL100002,Conservative,Bonds,Corporate Bond,High Yield,990.88,2024-09-02,0.0661,False,High Yield
CL100002,Conservative,Bonds,Corporate Bond,LQD,922.57,2018-03-15,0.0548,False,Investment Grade
CL100002,Conservative,Bonds,Government Bond,US Treasury,338.65,2015-12-31,0.0525,False,Government
CL100002,Conservative,Cash,Cash,T-Bills,4662.49,2020-01-26,0.0235,False,Short-Term Government
CL100002,Conservative,Real Estate,REIT,O,347.68,2023-09-02,0.0926,False,Retail
CL100002,Conservative,Real Estate,Property,Residential,697.38,2022-07-17,0.1547,False,Residential
CL100002,Conservative,Commodities,Commodity,USO,201.22,2017-04-28,0.0762,False,Energy
CL100002,Conservative,Commodities,Commodity,IAU,2330.23,2023-01-28,-0.1325,False,Precious Metals
CL100003,Moderately Conservative,Equities,Mutual Fund,FCNTX,2055.73,2019-10-27,0.0412,True,Growth
CL100003,Moderately Conservative,Equities,Stock,AMZN,3264.62,2024-10-02,0.0621,True,Consumer Discretionary
CL100003,Moderately Conservative,Equities,Mutual Fund,FXAIX,1439.63,2019-02-16,0.1588,False,Broad Market
CL100003,Moderately Conservative,Equities,Stock,JPM,1772.98,2018-07-28,0.0148,False,Financials
CL100003,Moderately Conservative,Equities,Stock,JNJ,1398.12,2019-03-06,0.1919,False,Healthcare
CL100003,Moderately Conservative,Equities,Mutual Fund,SWPPX,447.73,2023-03-24,0.1955,False,Broad Market
CL100003,Moderately Conservative,Equities,Mutual Fund,VTSMX,2642.0,2022-07-16,0.0289,False,Broad Market
CL100003,Moderately Conservative,Equities,ETF,VTI,679.33,2022-02-25,-0.0534,False,Broad Market
CL100003,Moderately Conservative,Equities,ETF,VGT,50.74,2024-09-13,0.0061,False,Technology
CL100003,Moderately Conservative,Equities,Stock,V,2137.43,2019-03-15,0.1823,False,Financials
CL100003,Moderately Conservative,Bonds,Government Bond,TIPS,12448.52,2024-01-12,0.0446,False,Inflation-Protected
CL100003,Moderately Conservative,Bonds,Corporate Bond,Investment Grade,8824.09,2021-05-16,0.0515,False,Investment Grade
CL100003,Moderately Conservative,Cash,Cash,T-Bills,2346.43,2016-03-01,0.0119,False,Short-Term Government
CL100003,Moderately Conservative,Cash,Cash,Savings Account,76.81,2018-01-10,0.0306,False,Bank Deposit
CL100003,Moderately Conservative,Alternatives,Private Equity,Venture Capital,573.64,2024-04-25,0.1111,False,Early Stage
CL100003,Moderately Conservative,Alternatives,Private Equity,Growth Equity,507.38,2023-02-26,-0.1976,False,Growth Stage
CL100003,Moderately Conservative,Alternatives,Hedge Fund,Market Neutral,515.11,2015-12-14,-0.1026,False,Arbitrage
CL100004,Moderately Aggressive,Equities,ETF,IWM,1511.9,2021-10-10,0.5387,True,Small Cap
CL100004,Moderately Aggressive,Equities,Stock,META,4001.67,2020-07-24,0.4339,True,Communication Services
CL100004,Moderately Aggressive,Equities,Mutual Fund,VTSMX,138.71,2025-05-29,0.2881,False,Broad Market
CL100004,Moderately Aggressive,Equities,Stock,MSFT,170.45,2017-10-07,0.2391,False,Technology
CL100004,Moderately Aggressive,Equities,Stock,PG,7744.01,2021-05-17,0.0829,True,Consumer Staples
CL100004,Moderately Aggressive,Equities,Mutual Fund,FCNTX,1999.8,2024-02-01,0.1407,True,Growth
CL100004,Moderately Aggressive,Equities,Stock,META,608.51,2016-08-03,0.2812,False,Communication Services
CL100004,Moderately Aggressive,Equities,Stock,TSLA,3307.68,2022-09-19,-0.0407,True,Consumer Discretionary
CL100004,Moderately Aggressive,Equities,Mutual Fund,VFIAX,6581.06,2019-03-28,-0.0011,False,Broad Market
CL100004,Moderately Aggressive,Equities,ETF,VB,1088.68,2022-11-11,-0.2405,False,Small Cap
CL100004,Moderately Aggressive,Equities,Stock,AMZN,4367.02,2025-03-28,-0.0682,False,Consumer Discretionary
CL100004,Moderately Aggressive,Equities,Stock,TSLA,399.49,2020-11-24,0.399,False,Consumer Discretionary
CL100004,Moderately Aggressive,Equities,Mutual Fund,VTSMX,237.62,2022-07-11,0.0165,False,Broad Market
CL100004,Moderately Aggressive,Bonds,Government Bond,Agency Bonds,928.85,2015-11-21,0.0241,False,Government Agency
CL100004,Moderately Aggressive,Bonds,Corporate Bond,High Yield,2569.72,2020-05-09,-0.023,False,High Yield
CL100004,Moderately Aggressive,Bonds,Corporate Bond,BLV,4043.78,2015-09-30,0.0859,False,Long-Term
CL100004,Moderately Aggressive,Cash,Cash,Savings Account,848.8,2018-02-11,0.0238,False,Bank Deposit
CL100004,Moderately Aggressive,Alternatives,Hedge Fund,Global Macro,1357.16,2024-09-26,0.5756,True,Macro Strategy
CL100004,Moderately Aggressive,Alternatives,Hedge Fund,Global Macro,780.47,2021-01-12,-0.1105,False,Macro Strategy
CL100004,Moderately Aggressive,Real Estate,Property,Residential,1452.43,2022-08-03,-0.1348,True,Residential
CL100004,Moderately Aggressive,Real Estate,REIT,AMT,14.85,2022-07-16,0.141,False,Infrastructure
CL100004,Moderately Aggressive,Real Estate,REIT,VNQ,126.36,2021-08-22,0.1939,False,Diversified
CL100004,Moderately Aggressive,Commodities,Commodity,USO,2867.38,2019-10-13,-0.2608,False,Energy
CL100004,Moderately Aggressive,Commodities,Commodity,USO,459.28,2023-05-21,0.0248,False,Energy
CL100004,Moderately Aggressive,Commodities,Commodity,GLD,3017.87,2025-07-01,-0.4288,False,Precious Metals
CL100005,Moderate,Equities,ETF,VB,157.94,2016-01-03,0.4347,False,Small Cap
CL100005,Moderate,Equities,Stock,META,568.27,2018-01-14,-0.019,False,Communication Services
CL100005,Moderate,Equities,ETF,VGT,97.7,2022-03-14,0.2227,False,Technology
CL100005,Moderate,Equities,Mutual Fund,FXAIX,650.55,2018-01-22,0.12,True,Broad Market
CL100005,Moderate,Equities,ETF,VTI,472.05,2022-02-21,-0.0364,False,Broad Market
CL100005,Moderate,Equities,ETF,VHT,43.63,2022-02-09,0.2311,False,Healthcare
CL100005,Moderate,Equities,ETF,VOO,14.39,2019-01-05,0.1316,False,Broad Market
CL100005,Moderate,Equities,Mutual Fund,VTSMX,21.27,2020-07-24,0.1838,False,Broad Market
CL100005,Moderate,Equities,ETF,VOO,3.68,2016-08-12,0.1858,False,Broad Market
CL100005,Moderate,Equities,Mutual Fund,FXAIX,19.86,2022-05-02,-0.0461,False,Broad Market
CL100005,Moderate,Equities,Mutual Fund,VTSMX,230.03,2021-10-04,-0.0084,False,Broad Market
CL100005,Moderate,Equities,Stock,GOOGL,14.79,2022-12-30,0.2055,False,Communication Services
CL100005,Moderate,Equities,Stock,AMZN,76.92,2022-10-09,0.1825,True,Consumer Discretionary
CL100005,Moderate,Bonds,Government Bond,Agency Bonds,535.57,2018-06-15,0.0813,False,Government Agency
CL100005,Moderate,Bonds,Government Bond,Agency Bonds,61.19,2022-10-12,0.0807,False,Government Agency
CL100005,Moderate,Bonds,Government Bond,US Treasury,53.5,2015-11-13,0.1053,False,Government
CL100005,Moderate,Bonds,Government Bond,Agency Bonds,172.27,2016-07-01,0.0411,False,Government Agency
CL100005,Moderate,Bonds,Corporate Bond,Investment Grade,47.93,2016-01-02,0.0741,False,Investment Grade
CL100005,Moderate,Bonds,Government Bond,Agency Bonds,307.07,2020-04-21,0.0245,True,Government Agency
CL100005,Moderate,Bonds,Corporate Bond,VCLT,224.81,2017-06-13,0.0562,False,Long-Term Corporate
CL100005,Moderate,Bonds,Corporate Bond,LQD,64.44,2023-09-25,0.0335,False,Investment Grade
CL100005,Moderate,Cash,Cash,T-Bills,246.76,2022-08-11,0.0021,False,Short-Term Government
CL100005,Moderate,Cash,Cash,CD,69.89,2016-12-05,0.0155,False,Certificate of Deposit
CL100005,Moderate,Cash,Cash,Money Market,81.97,2022-06-09,0.032,False,Money Market
CL100005,Moderate,Alternatives,Private Equity,Buyout Fund,82.36,2022-06-21,-0.2016,False,Mature Companies
CL100005,Moderate,Alternatives,Hedge Fund,Global Macro,92.53,2024-08-11,-0.0762,False,Macro Strategy
CL100005,Moderate,Alternatives,Private Equity,Venture Capital,91.98,2017-09-25,0.0978,True,Early Stage
CL100005,Moderate,Alternatives,Private Equity,Buyout Fund,5.64,2020-11-11,-0.4267,True,Mature Companies
CL100005,Moderate,Commodities,Commodity,DBC,380.0,2024-10-25,0.4218,False,Diversified
CL100005,Moderate,Commodities,Commodity,USO,75.11,2016-11-18,0.1789,False,Energy
CL100006,Moderately Aggressive,Equities,ETF,XLF,349.74,2017-04-11,0.123,False,Financials
CL100006,Moderately Aggressive,Equities,Mutual Fund,FCNTX,345.69,2020-01-16,0.072,False,Growth
CL100006,Moderately Aggressive,Equities,Stock,META,2896.49,2025-03-11,0.0988,False,Communication Services
CL100006,Moderately Aggressive,Equities,ETF,VGT,3789.66,2016-07-25,-0.0684,False,Technology
CL100006,Moderately Aggressive,Equities,ETF,VTI,2420.88,2024-02-01,0.0847,False,Broad Market
CL100006,Moderately Aggressive,Equities,Mutual Fund,FCNTX,9054.5,2021-02-05,0.1497,True,Growth
CL100006,Moderately Aggressive,Equities,Mutual Fund,FCNTX,1298.97,2024-07-29,0.3022,False,Growth
CL100006,Moderately Aggressive,Equities,Mutual Fund,VTSAX,930.33,2020-05-03,0.2235,True,Broad Market
CL100006,Moderately Aggressive,Equities,Stock,AAPL,5611.51,2021-11-05,0.4934,True,Technology
CL100006,Moderately Aggressive,Equities,Stock,V,699.76,2016-12-24,-0.0673,True,Financials
CL100006,Moderately Aggressive,Equities,ETF,IWM,9132.33,2016-03-09,0.2475,False,Small Cap
CL100006,Moderately Aggressive,Equities,ETF,IWM,33.81,2020-03-29,0.1152,False,Small Cap
CL100006,Moderately Aggressive,Equities,Stock,PG,9684.38,2021-08-04,0.5004,True,Consumer Staples
CL100006,Moderately Aggressive,Equities,Stock,MSFT,121.99,2018-03-17,-0.0752,False,Technology
CL100006,Moderately Aggressive,Equities,Stock,AAPL,6131.93,2023-04-13,-0.0812,False,Technology
CL100006,Moderately Aggressive,Bonds,Government Bond,TIPS,7176.65,2018-01-03,0.01,True,Inflation-Protected
CL100006,Moderately Aggressive,Cash,Cash,T-Bills,7933.85,2017-09-02,0.0124,False,Short-Term Government
CL100006,Moderately Aggressive,Alternatives,Hedge Fund,Market Neutral,1608.04,2017-02-16,0.1433,False,Arbitrage
CL100006,Moderately Aggressive,Alternatives,Private Equity,Venture Capital,1879.59,2024-04-21,-0.4509,False,Early Stage
CL100006,Moderately Aggressive,Alternatives,Private Equity,Growth Equity,525.58,2021-04-22,0.2044,False,Growth Stage
CL100006,Moderately Aggressive,Real Estate,REIT,VNQ,1290.65,2016-03-14,0.1887,False,Diversified
CL100006,Moderately Aggressive,Real Estate,REIT,VNQ,886.33,2022-02-18,0.3063,False,Diversified
CL100007,Moderately Aggressive,Equities,ETF,QQQ,2488.76,2021-09-09,0.0693,False,Technology
CL100007,Moderately Aggressive,Equities,Stock,JNJ,2085.28,2024-05-01,0.2166,False,Healthcare
CL100007,Moderately Aggressive,Equities,ETF,VGT,10167.44,2016-03-22,-0.1359,False,Technology
CL100007,Moderately Aggressive,Equities,ETF,VTI,7085.06,2017-04-15,-0.2145,False,Broad Market
CL100007,Moderately Aggressive,Equities,Mutual Fund,VTSMX,1008.54,2016-06-14,0.2744,True,Broad Market
CL100007,Moderately Aggressive,Equities,Mutual Fund,VTSAX,1822.98,2016-04-03,0.1232,False,Broad Market
CL100007,Moderately Aggressive,Equities,Mutual Fund,FCNTX,3603.16,2015-12-19,-0.0498,True,Growth
CL100007,Moderately Aggressive,Equities,Stock,MSFT,2357.31,2020-06-17,0.3778,True,Technology
CL100007,Moderately Aggressive,Equities,Stock,V,353.52,2018-01-09,0.1022,False,Financials
CL100007,Moderately Aggressive,Equities,ETF,VGT,745.01,2015-12-22,0.3064,True,Technology
CL100007,Moderately Aggressive,Equities,ETF,VTI,172.06,2021-07-15,0.093,False,Broad Market
CL100007,Moderately Aggressive,Equities,ETF,VGT,3832.15,2018-10-31,0.4757,True,Technology
CL100007,Moderately Aggressive,Equities,Mutual Fund,SWPPX,1159.32,2019-09-21,0.3509,False,Broad Market
CL100007,Moderately Aggressive,Bonds,Government Bond,TIPS,8137.13,2020-01-14,0.0723,False,Inflation-Protected
CL100007,Moderately Aggressive,Bonds,Government Bond,Agency Bonds,2008.84,2020-01-05,0.1084,False,Government Agency
CL100007,Moderately Aggressive,Bonds,Corporate Bond,Investment Grade,559.47,2023-01-12,-0.0082,True,Investment Grade
CL100007,Moderately Aggressive,Bonds,Corporate Bond,VCSH,113.56,2018-01-26,0.0743,False,Short-Term Corporate
CL100007,Moderately Aggressive,Cash,Cash,T-Bills,598.53,2019-04-23,0.0027,False,Short-Term Government
CL100007,Moderately Aggressive,Cash,Cash,T-Bills,59.81,2017-02-24,0.0344,False,Short-Term Government
CL100007,Moderately Aggressive,Cash,Cash,CD,1762.32,2017-08-20,0.0289,False,Certificate of Deposit
CL100007,Moderately Aggressive,Alternatives,Hedge Fund,Global Macro,623.66,2024-02-29,0.0605,True,Macro Strategy
CL100007,Moderately Aggressive,Alternatives,Private Equity,Growth Equity,1051.12,2019-07-05,0.3827,True,Growth Stage
CL100007,Moderately Aggressive,Alternatives,Private Equity,Venture Capital,2230.19,2020-02-01,0.1952,True,Early Stage
CL100007,Moderately Aggressive,Alternatives,Hedge Fund,Global Macro,735.81,2016-03-06,0.0958,False,Macro Strategy
CL100008,Aggressive,Equities,Mutual Fund,FCNTX,16218.41,2025-01-02,-0.0254,True,Growth
CL100008,Aggressive,Equities,Stock,PG,18312.72,2024-02-06,-0.0913,True,Consumer Staples
CL100008,Aggressive,Equities,Mutual Fund,VTSAX,3578.25,2025-05-18,0.0507,True,Broad Market
CL100008,Aggressive,Bonds,Corporate Bond,VCLT,204.24,2023-06-13,-0.0118,False,Long-Term Corporate
CL100008,Aggressive,Bonds,Government Bond,Municipal Bonds,400.34,2020-02-28,0.0657,False,Municipal
CL100008,Aggressive,Bonds,Government Bond,US Treasury,618.66,2024-09-07,0.1002,False,Government
CL100008,Aggressive,Bonds,Government Bond,TIPS,1036.21,2019-03-16,0.0826,True,Inflation-Protected
CL100008,Aggressive,Bonds,Corporate Bond,Investment Grade,35.45,2024-03-09,0.009,False,Investment Grade
CL100008,Aggressive,Cash,Cash,Money Market,1719.52,2016-10-25,0.0172,False,Money Market
CL100008,Aggressive,Cash,Cash,T-Bills,254.28,2020-07-20,-0.003,False,Short-Term Government
CL100008,Aggressive,Cash,Cash,T-Bills,292.83,2022-02-03,0.0048,False,Short-Term Government
CL100008,Aggressive,Alternatives,Private Equity,Venture Capital,5993.87,2022-07-20,0.5429,False,Early Stage
CL100008,Aggressive,Real Estate,REIT,IYR,637.68,2019-04-30,0.1738,True,Diversified
CL100008,Aggressive,Real Estate,REIT,IYR,17.32,2020-06-18,0.126,True,Diversified
CL100008,Aggressive,Real Estate,Property,Commercial,134.81,2022-04-14,0.6242,True,Commercial
CL100008,Aggressive,Commodities,Commodity,PDBC,484.39,2024-09-19,0.3523,False,Diversified
CL100008,Aggressive,Commodities,Commodity,SLV,2534.49,2018-07-04,-0.1688,False,Precious Metals
CL100008,Aggressive,Commodities,Commodity,USO,3250.06,2022-12-30,-0.1942,True,Energy
CL100009,Moderately Conservative,Equities,ETF,VB,34.22,2019-02-18,0.3078,False,Small Cap
CL100009,Moderately Conservative,Equities,ETF,XLK,83.67,2017-10-17,0.087,True,Technology
CL100009,Moderately Conservative,Equities,ETF,XLF,113.09,2019-11-27,-0.0397,False,Financials
CL100009,Moderately Conservative,Equities,Mutual Fund,VTSAX,260.28,2018-10-23,0.1025,False,Broad Market
CL100009,Moderately Conservative,Equities,Stock,JNJ,212.03,2018-09-30,0.0728,False,Healthcare
CL100009,Moderately Conservative,Equities,ETF,SPY,110.36,2017-12-15,0.0456,True,Broad Market
CL100009,Moderately Conservative,Equities,Mutual Fund,FCNTX,1079.53,2016-12-09,-0.0389,False,Growth
CL100009,Moderately Conservative,Equities,Mutual Fund,SWPPX,233.35,2016-12-16,0.0008,False,Broad Market
CL100009,Moderately Conservative,Equities,Stock,V,67.89,2020-07-22,0.1888,False,Financials
CL100009,Moderately Conservative,Equities,ETF,VTI,26.91,2020-08-17,0.1521,False,Broad Market
CL100009,Moderately Conservative,Equities,Mutual Fund,VTSAX,41.59,2020-03-30,-0.0473,False,Broad Market
CL100009,Moderately Conservative,Equities,ETF,XLF,70.77,2018-01-01,0.0943,False,Financials
CL100009,Moderately Conservative,Equities,Stock,AMZN,43.91,2017-09-26,0.1882,False,Consumer Discretionary
CL100009,Moderately Conservative,Equities,ETF,IWM,51.77,2021-01-09,-0.1604,False,Small Cap
CL100009,Moderately Conservative,Equities,Mutual Fund,VFIAX,84.13,2021-12-27,0.1352,False,Broad Market
CL100009,Moderately Conservative,Bonds,Corporate Bond,Investment Grade,1328.12,2020-12-25,0.0171,False,Investment Grade
CL100009,Moderately Conservative,Bonds,Government Bond,Agency Bonds,187.41,2023-05-31,0.0247,False,Government Agency
CL100009,Moderately Conservative,Bonds,Corporate Bond,LQD,353.95,2018-07-03,-0.0362,False,Investment Grade
CL100009,Moderately Conservative,Bonds,Corporate Bond,Investment Grade,501.52,2019-05-11,0.0799,False,Investment Grade
CL100009,Moderately Conservative,Bonds,Government Bond,Municipal Bonds,641.21,2017-09-07,-0.017,False,Municipal
CL100009,Moderately Conservative,Cash,Cash,Savings Account,162.73,2018-06-14,0.0227,False,Bank Deposit
CL100009,Moderately Conservative,Cash,Cash,Money Market,188.63,2022-01-12,0.0185,False,Money Market
CL100009,Moderately Conservative,Alternatives,Hedge Fund,Long/Short,186.19,2016-01-30,0.012,False,Equity Strategy
CL100009,Moderately Conservative,Real Estate,Property,Residential,1052.89,2023-10-16,-0.0022,False,Residential
CL100009,Moderately Conservative,Commodities,Commodity,DBC,196.33,2020-11-09,0.1868,False,Diversified
CL100009,Moderately Conservative,Commodities,Commodity,USO,245.05,2019-05-03,-0.0802,False,Energy
CL100010,Aggressive,Equities,ETF,XLF,241524.02,2016-09-06,0.0216,True,Financials
CL100010,Aggressive,Equities,Mutual Fund,SWPPX,156832.45,2022-05-06,0.2406,False,Broad Market
CL100010,Aggressive,Equities,Mutual Fund,SWPPX,106117.28,2019-01-05,0.025,False,Broad Market
CL100010,Aggressive,Equities,Mutual Fund,VTSAX,63704.17,2020-07-04,0.3042,False,Broad Market
CL100010,Aggressive,Bonds,Corporate Bond,BLV,4636.06,2019-06-04,0.0846,False,Long-Term
CL100010,Aggressive,Bonds,Corporate Bond,VCLT,6086.71,2015-10-07,0.0448,False,Long-Term Corporate
CL100010,Aggressive,Bonds,Government Bond,TIPS,3514.34,2022-11-24,-0.0042,False,Inflation-Protected
CL100010,Aggressive,Bonds,Corporate Bond,Investment Grade,13490.93,2020-03-18,0.0543,False,Investment Grade
CL100010,Aggressive,Bonds,Corporate Bond,VCLT,6845.55,2016-08-18,0.0483,False,Long-Term Corporate
CL100010,Aggressive,Bonds,Government Bond,Agency Bonds,2589.29,2024-02-06,0.0684,False,Government Agency
CL100010,Aggressive,Bonds,Corporate Bond,Investment Grade,22521.25,2020-07-30,-0.0037,False,Investment Grade
CL100010,Aggressive,Bonds,Government Bond,Agency Bonds,4745.93,2023-11-25,0.02,True,Government Agency
CL100010,Aggressive,Cash,Cash,Savings Account,10917.59,2020-04-01,0.0297,False,Bank Deposit
CL100010,Aggressive,Cash,Cash,CD,6687.2,2018-07-12,0.0208,False,Certificate of Deposit
CL100010,Aggressive,Alternatives,Private Equity,Growth Equity,22519.57,2015-11-18,0.5892,False,Growth Stage
CL100010,Aggressive,Alternatives,Hedge Fund,Global Macro,2383.72,2016-12-31,0.2303,False,Macro Strategy
CL100010,Aggressive,Alternatives,Hedge Fund,Long/Short,5413.46,2022-11-19,-0.0126,False,Equity Strategy
CL100010,Aggressive,Alternatives,Hedge Fund,Market Neutral,4139.77,2020-08-25,0.3686,False,Arbitrage
CL100010,Aggressive,Real Estate,REIT,O,40722.35,2022-02-27,0.0214,True,Retail
CL100011,Moderately Conservative,Equities,ETF,VTI,22.0,2020-11-23,0.1493,False,Broad Market
CL100011,Moderately Conservative,Equities,Mutual Fund,VTSMX,116.62,2023-08-11,0.0969,False,Broad Market
CL100011,Moderately Conservative,Equities,Stock,MSFT,93.17,2021-03-24,-0.0338,False,Technology
CL100011,Moderately Conservative,Equities,Mutual Fund,VTSMX,124.93,2018-12-23,0.1266,False,Broad Market
CL100011,Moderately Conservative,Equities,Stock,GOOGL,2.42,2022-09-01,0.351,False,Communication Services
CL100011,Moderately Conservative,Equities,ETF,IWM,271.81,2016-06-29,0.2737,False,Small Cap
CL100011,Moderately Conservative,Equities,ETF,IWM,355.5,2023-09-29,0.3094,False,Small Cap
CL100011,Moderately Conservative,Equities,Stock,V,110.05,2018-12-05,0.0064,False,Financials
CL100011,Moderately Conservative,Bonds,Corporate Bond,VCSH,270.53,2016-01-14,0.1669,False,Short-Term Corporate
CL100011,Moderately Conservative,Bonds,Corporate Bond,High Yield,258.04,2015-12-12,0.0662,False,High Yield
CL100011,Moderately Conservative,Bonds,Corporate Bond,Investment Grade,59.53,2019-02-07,0.0106,False,Investment Grade
CL100011,Moderately Conservative,Bonds,Corporate Bond,LQD,11.94,2017-09-03,0.0333,False,Investment Grade
CL100011,Moderately Conservative,Bonds,Corporate Bond,Investment Grade,416.1,2018-02-18,0.0935,False,Investment Grade
CL100011,Moderately Conservative,Cash,Cash,Savings Account,1.06,2019-03-03,0.0142,False,Bank Deposit
CL100011,Moderately Conservative,Cash,Cash,T-Bills,92.25,2016-03-05,0.0285,False,Short-Term Government
CL100011,Moderately Conservative,Real Estate,REIT,AMT,263.87,2023-01-22,-0.2085,False,Infrastructure
CL100011,Moderately Conservative,Real Estate,REIT,AMT,44.45,2017-01-16,0.2224,False,Infrastructure
CL100011,Moderately Conservative,Commodities,Commodity,PDBC,53.74,2018-06-24,-0.0973,True,Diversified
CL100011,Moderately Conservative,Commodities,Commodity,SLV,22.71,2025-02-21,0.0058,False,Precious Metals
CL100011,Moderately Conservative,Commodities,Commodity,PDBC,53.78,2022-03-17,0.0009,False,Diversified
CL100012,Moderate,Equities,Mutual Fund,SWPPX,0.98,2022-06-17,0.1867,False,Broad Market
